Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
G5,4,-14279.19531,37251.79688
G6,4,,
G7,4,-14733.27734,33508.98047
G8,4,,
G9,4,-13185.64063,45170.67188
G10,4,,
G11,4,,
G12,4,,
H1,4,-15093.44238,30146.06641
H2,4,,
H3,4,-15131.86035,33736.64453
H4,4,,
H5,4,-13122.42285,32178.20117
H6,4,,
H7,4,-14996.12109,32322.04688
H8,4,,
H9,4,-11154.92969,-2109.621094
H10,4,,
H11,4,,
H12,4,,
A1,5,28801.13867,31557.14844
A2,5,,
A3,5,49133.91797,38004.16797
A4,5,,
A5,5,43922.5625,32189.14258
A6,5,,
A7,5,48721.20313,34581.80078
A8,5,,
A9,5,48230.76172,38202.42578
A10,5,,
A11,5,,
A12,5,,
B1,5,-2319.812012,29982.40234
B2,5,,
B3,5,-4051.279785,36232.61719
B4,5,,
B5,5,-1590.865723,31914.63477
B6,5,,
B7,5,-2781.026367,30899.67773
B8,5,,
B9,5,-56.57966614,33202.0625
B10,5,,
B11,5,,
B12,5,,
C1,5,-8673.589844,38833.3125
C2,5,,
C3,5,-10816.38672,35866.54688
C4,5,,
C5,5,-11765.5957,30589.55859
C6,5,,
C7,5,-7891.239258,35049.13672
C8,5,,
C9,5,-6855.610352,34181.65625
C10,5,,
C11,5,,
C12,5,,
D1,5,-10704.69238,33208.98438
D2,5,,
D3,5,-10832.26367,32490.125
D4,5,,
D5,5,-10221.93945,30917.33789
D6,5,,
D7,5,-7821.990234,34017.92578
D8,5,,
D9,5,-6671.319336,40112.14063
D10,5,,
D11,5,,
D12,5,,
E1,5,-10781.37012,34340.20313
E2,5,,
E3,5,-8706.576172,36037.64063
E4,5,,
E5,5,-7788.958008,36513.39844
E6,5,,
E7,5,-8385.542969,35040.875
E8,5,,
E9,5,-6831.920898,36149.42969
E10,5,,
E11,5,,
E12,5,,
F1,5,-10812.26855,36525.20703
F2,5,,
F3,5,-10592.36719,33709.03906
F4,5,,
F5,5,-4655.148926,35114.10938
F6,5,,
F7,5,-8885.229492,35598.66016
F8,5,,
F9,5,-8838.120117,36008.73438
F10,5,,
F11,5,,
F12,5,,
G1,5,-9655.27832,33283.62891
G2,5,,
G3,5,-9322.003906,34070.5
G4,5,,
G5,5,-8597.864258,35924.24609
G6,5,,
G7,5,-9325.925781,32870.55078
G8,5,,
G9,5,-6225.397461,44382.04688
G10,5,,
G11,5,,
G12,5,,
H1,5,-11695.61426,31121.4043
H2,5,,
H3,5,-9368.333984,35080.14063
H4,5,,
H5,5,-9852.87207,33444.90625
H6,5,,
H7,5,-9122.178711,34927.03906
H8,5,,
H9,5,-10560.15137,-2032.852173
H10,5,,
H11,5,,
H12,5,,
A1,6,48287.71875,31834.33594
A2,6,,
A3,6,80216.15625,39184.48438
A4,6,,
A5,6,64896.78516,33174.25781
A6,6,,
A7,6,70393.72656,35661.17188
A8,6,,
A9,6,74350.71875,39119.35547
A10,6,,
A11,6,,
A12,6,,
B1,6,2310.55542,30885.86328
B2,6,,
B3,6,2131.431152,38715.69922
B4,6,,
B5,6,1845.540039,33431.91406
B6,6,,
B7,6,-287.0492249,31748.39844
B8,6,,
B9,6,3931.238281,35273.53125
B10,6,,
B11,6,,
B12,6,,
C1,6,-5328.146973,40289.20703
C2,6,,
C3,6,-7694.60791,38100.96875
C4,6,,
C5,6,-10446.6377,31862.29492
C6,6,,
C7,6,-6908.224121,36341.05078
C8,6,,
C9,6,-5170.226074,35306.85156
C10,6,,
C11,6,,
C12,6,,
D1,6,-7985.887207,34165.58984
D2,6,,
D3,6,-9369.757813,33951.39063
D4,6,,
D5,6,-9196.868164,32158.89453
D6,6,,
D7,6,-7082.710449,35408.25391
D8,6,,
D9,6,-5679.912109,41582.38672
D10,6,,
D11,6,,
D12,6,,
E1,6,-7917.568359,35649.94141
E2,6,,
E3,6,-7022.100098,37831.49609
E4,6,,
E5,6,-6561.45752,38234.16797
E6,6,,
E7,6,-7288.941895,36667.67188
E8,6,,
E9,6,-6018.574707,37459.80078
E10,6,,
E11,6,,
E12,6,,
F1,6,-7711.145508,38170.58984
F2,6,,
F3,6,-7851.034668,36009.14063
F4,6,,
F5,6,-2810.753906,36985.55078
F6,6,,
F7,6,-7740.750977,37389.41406
F8,6,,
F9,6,-6649.59082,37730.67578
F10,6,,
F11,6,,
F12,6,,
G1,6,-6473.464355,35432.55859
G2,6,,
G3,6,-6544.850586,36457.89453
G4,6,,
G5,6,-6990.087891,37541.5
G6,6,,
G7,6,-7981.563965,34686.76953
G8,6,,
G9,6,-3735.028809,46667.88672
G10,6,,
G11,6,,
G12,6,,
H1,6,-9008.856445,32062.58398
H2,6,,
H3,6,-6423.731934,36991.39063
H4,6,,
H5,6,-8880.166992,34944.23047
H6,6,,
H7,6,-8123.563965,36211.20703
H8,6,,
H9,6,-10560.5459,-2036.676147
H10,6,,
H11,6,,
H12,6,,
A1,7,-8452.484375,30604.4668
A2,7,,
A3,7,-8632.708984,38368.83203
A4,7,,
A5,7,-9122.900391,33097.10547
A6,7,,
A7,7,-9330.931641,34796.35156
A8,7,,
A9,7,-8483.533203,38907.37891
