Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
C4,128,,
C5,128,325590.4063,25555.85156
C6,128,,
C7,128,338817.9688,27034.08594
C8,128,,
C9,128,347858.6563,24888.4375
C10,128,,
C11,128,,
C12,128,,
D1,128,346188.25,25386.53906
D2,128,,
D3,128,328293.4063,24811.29297
D4,128,,
D5,128,310488.7188,24526.74219
D6,128,,
D7,128,310969.8438,25517.00781
D8,128,,
D9,128,390826.0625,31582.99219
D10,128,,
D11,128,,
D12,128,,
E1,128,352064.3438,27035.08594
E2,128,,
E3,128,363766.8125,27563.05078
E4,128,,
E5,128,353300.1563,28087.94922
E6,128,,
E7,128,339727.9375,26230.125
E8,128,,
E9,128,362167.4063,27707.53125
E10,128,,
E11,128,,
E12,128,,
F1,128,369684.4688,28723.25391
F2,128,,
F3,128,347836.5,26459.35938
F4,128,,
F5,128,330842.5313,26029.53125
F6,128,,
F7,128,350856.2188,27388.08984
F8,128,,
F9,128,369443.25,28280.99609
F10,128,,
F11,128,,
F12,128,,
G1,128,325788.75,26071.74219
G2,128,,
G3,128,352371.3125,26958.47266
G4,128,,
G5,128,360061.875,29253.46094
G6,128,,
G7,128,335887.8438,27257.16797
G8,128,,
G9,128,420069.1563,36357.82813
G10,128,,
G11,128,,
G12,128,,
H1,128,313252.4375,26231.93359
H2,128,,
H3,128,342352.0313,28170.16797
H4,128,,
H5,128,75474.25781,31322.73828
H6,128,,
H7,128,353224.4688,29696.97266
H8,128,,
H9,128,-10660.37988,-2078.187988
H10,128,,
H11,128,,
H12,128,,
A1,129,318224.9688,24016.85938
A2,129,,
A3,129,395085.9375,31147.63672
A4,129,,
A5,129,331899.3438,24492.58203
A6,129,,
A7,129,365197.75,27295.53125
A8,129,,
A9,129,405507.6563,28657.4375
A10,129,,
A11,129,,
A12,129,,
B1,129,297443.0625,24275.22266
B2,129,,
B3,129,381660.9063,27322.61719
B4,129,,
B5,129,316102.2813,22893.05078
B6,129,,
B7,129,324485.8438,25221.37891
B8,129,,
B9,129,335851.4375,24894.08203
B10,129,,
B11,129,,
B12,129,,
C1,129,392622.0938,30476.11719
C2,129,,
C3,129,366100.2813,26720.29688
C4,129,,
C5,129,321633.7188,25294.62891
C6,129,,
C7,129,338488.2188,27278.78906
C8,129,,
C9,129,345135.6563,24975.10547
C10,129,,
C11,129,,
C12,129,,
D1,129,345589.3125,25679.39063
D2,129,,
D3,129,327648.125,25021.68359
D4,129,,
D5,129,312041.6563,25111.13672
D6,129,,
D7,129,309559.5938,25640.16016
D8,129,,
D9,129,387375.125,31508.01563
D10,129,,
D11,129,,
D12,129,,
E1,129,351049.4375,27329.21094
E2,129,,
E3,129,362306.125,27721.50391
E4,129,,
E5,129,356934,28943.89453
E6,129,,
E7,129,339518.2188,26542.61719
E8,129,,
E9,129,360699.875,27836.76563
E10,129,,
E11,129,,
E12,129,,
F1,129,368169.6563,28999.23438
F2,129,,
F3,129,346986.0625,26731.57422
F4,129,,
F5,129,332652.375,26616.28125
F6,129,,
F7,129,349608.8438,27659.50781
F8,129,,
F9,129,368451.4063,28499.32813
F10,129,,
F11,129,,
F12,129,,
G1,129,324776,26264.96875
G2,129,,
G3,129,351101.2188,27202.86719
G4,129,,
G5,129,355459.0313,29066.02734
G6,129,,
G7,129,333919.1563,27338.09375
G8,129,,
G9,129,418605.4375,36640.83594
G10,129,,
G11,129,,
G12,129,,
H1,129,311671.5313,26361.13281
H2,129,,
H3,129,341270.7813,28386.05078
H4,129,,
H5,129,75819.96875,31658.80859
H6,129,,
H7,129,351891.2813,29911.625
H8,129,,
H9,129,-10672.5293,-2066.492188
H10,129,,
H11,129,,
H12,129,,
A1,130,315327.9688,24138.16406
A2,130,,
A3,130,393180.8438,31409.31641
A4,130,,
A5,130,330381.0938,24756.19141
A6,130,,
A7,130,363918.6875,27490.51563
A8,130,,
A9,130,403829.5313,29065.58594
A10,130,,
A11,130,,
A12,130,,
B1,130,295947.375,24406.47266
B2,130,,
B3,130,379413.5625,27513.36328
B4,130,,
B5,130,313979.3125,22991.35547
B6,130,,
B7,130,322295.4375,25212.52344
B8,130,,
B9,130,335504.3438,25135.74609
B10,130,,
B11,130,,
B12,130,,
C1,130,388650.0625,30577.96484
C2,130,,
C3,130,363579.5,26848.48438
C4,130,,
C5,130,321125.6875,25651.98828
C6,130,,
C7,130,337365.3438,27459.89844
C8,130,,
C9,130,345662.25,25452.55469
C10,130,,
C11,130,,
C12,130,,
D1,130,341560.1875,25712.16797
D2,130,,
D3,130,326615.8125,25262.125
D4,130,,
D5,130,310213.375,25190.17578
D6,130,,
D7,130,309723.2188,25978.63281
D8,130,,
D9,130,386053.0313,31851.875
D10,130,,
D11,130,,
D12,130,,
E1,130,348581.8438,27480.6875
E2,130,,
E3,130,361496.4063,27980.63672
E4,130,,
E5,130,353376.4063,28846.05078
E6,130,,
E7,130,338315.4688,26792.94141
E8,130,,
E9,130,358928.4375,28080.1875
E10,130,,
E11,130,,
E12,130,,
F1,130,365555.125,29154.29297
F2,130,,
F3,130,345924.875,27019.53906
F4,130,,
F5,130,329776.9063,26620.38281
F6,130,,
F7,130,349048,27930.78906
F8,130,,
F9,130,366014.1563,28700.44922
F10,130,,
F11,130,,
F12,130,,
G1,130,322839.625,26460.85938
G2,130,,
G3,130,349851.625,27498.16016
G4,130,,
G5,130,357029.25,29650.23047
G6,130,,
G7,130,332704.6563,27633.23438
G8,130,,
G9,130,416805.875,36827.72656
G10,130,,
G11,130,,
G12,130,,
H1,130,309241.4375,26542.07031
H2,130,,
H3,130,339829.625,28668.80469
H4,130,,
H5,130,75555.60938,31767.35938
H6,130,,
H7,130,350781.8438,30178.75391
H8,130,,
H9,130,-10697.89941,-2051.948486
H10,130,,
H11,130,,
H12,130,,
A1,131,312811.4375,24259.44531
A2,131,,
A3,131,390877.5938,31670.98047
A4,131,,
A5,131,329711.5,25073.64063
A6,131,,
A7,131,362903.3438,27650.23828
A8,131,,
A9,131,401668,29201.89453
A10,131,,
A11,131,,
A12,131,,
B1,131,293876.5625,24500.51953
B2,131,,
B3,131,376795.9375,27724.83203
B4,131,,
B5,131,312772.3125,23229.17188
B6,131,,
B7,131,319544.4375,25110.59766
B8,131,,
B9,131,331109.25,25223.46484
B10,131,,
B11,131,,
B12,131,,
C1,131,384451.3438,30627.8125
C2,131,,
C3,131,362293.0938,27101.6875
C4,131,,
C5,131,321368.3125,26021.21094
C6,131,,
C7,131,337814,27778.61719
C8,131,,
C9,131,343007.125,25500.72656
C10,131,,
C11,131,,
C12,131,,
D1,131,338418.125,25784.07813
D2,131,,
D3,131,326396.2188,25536.35547
D4,131,,
D5,131,307431.4063,25101.82813
D6,131,,
D7,131,309990.9375,26409.48828
D8,131,,
D9,131,384991.0313,31967.85547
D10,131,,
D11,131,,
D12,131,,
E1,131,346088.3125,27631.94141
E2,131,,
E3,131,360262.25,28231.70313
E4,131,,
E5,131,350013.9688,28764.82031
E6,131,,
E7,131,338825.25,27381.79688
E8,131,,
E9,131,359386.875,28323.25
E10,131,,
E11,131,,
E12,131,,
F1,131,361903.4375,29206.07422
F2,131,,
F3,131,345337.8125,27331.42188
F4,131,,
F5,131,327757.1875,26726.12109
F6,131,,
F7,131,347594.625,28334.25781
F8,131,,
F9,131,366516.8125,29107.91016
F10,131,,
F11,131,,
F12,131,,
G1,131,320991.8125,26747.78516
G2,131,,
G3,131,347129.5938,27658.75391
G4,131,,
G5,131,356951.5,30049.72266
G6,131,,
G7,131,331060.9375,27628.00391
G8,131,,
G9,131,413460.5625,37025.30078
G10,131,,
G11,131,,
G12,131,,
H1,131,306365.4688,26621.68359
H2,131,,
H3,131,338587.2188,28901.23438
H4,131,,
H5,131,75454.72656,31930.34961
H6,131,,
H7,131,349340.0625,30308.89063
H8,131,,
H9,131,-10672.80371,-2096.900635
H10,131,,
H11,131,,
H12,131,,
A1,132,311302.0313,24469.51563
A2,132,,
A3,132,389111.5313,31904.01172
A4,132,,
A5,132,327404.7813,25219.09766
A6,132,,
A7,132,359409.4375,27963.20313
A8,132,,
A9,132,401481.9063,29569.20313
A10,132,,
A11,132,,
A12,132,,
B1,132,291544.1563,24714.78125
B2,132,,
B3,132,375092.0625,27976.70703
B4,132,,
B5,132,310166.6875,23343.33594
B6,132,,
B7,132,321443,26054.74609
B8,132,,
B9,132,326101.4688,25013.52734
B10,132,,
B11,132,,
B12,132,,
C1,132,384720.25,31152.10156
C2,132,,
C3,132,360625.9375,27267.37891
C4,132,,
C5,132,321021.25,26392.97656
C6,132,,
C7,132,333102.875,27786.97266
C8,132,,
C9,132,342582.0313,25730.20313
C10,132,,
C11,132,,
C12,132,,
D1,132,337054.9375,26056.31641
D2,132,,
D3,132,324267.25,25629.85547
D4,132,,
D5,132,307092.5625,25401.93359
D6,132,,
D7,132,304041.5938,25880.57031
D8,132,,
D9,132,385355.25,32372.16797
D10,132,,
D11,132,,
D12,132,,
E1,132,344216.0938,27862.62891
E2,132,,
E3,132,359111.75,28474.16797
E4,132,,
E5,132,348271.5625,28925.00391
E6,132,,
E7,132,333907.125,26851.36719
E8,132,,
E9,132,359671.2813,28673.21094
E10,132,,
E11,132,,
E12,132,,
F1,132,360106.3438,29511.97266
F2,132,,
F3,132,343316.4375,27534.61328
F4,132,,
F5,132,325464.8438,26839.6875
F6,132,,
F7,132,345312,28083.62891
F8,132,,
F9,132,365528.8125,29395.52734
F10,132,,
F11,132,,
F12,132,,
G1,132,319811.0313,26962.17969
G2,132,,
G3,132,345948,27948.01953
G4,132,,
G5,132,354644.875,30218.76172
G6,132,,
G7,132,330655.625,28270.44922
G8,132,,
G9,132,410578.5,37158.69531
G10,132,,
G11,132,,
G12,132,,
H1,132,304127.2188,26736.51172
H2,132,,
H3,132,336904.875,29115.29297
H4,132,,
H5,132,75197.61719,32029.67383
H6,132,,
H7,132,348792.1875,30809.92578
H8,132,,
H9,132,-10682.22949,-2079.979004
H10,132,,
H11,132,,
H12,132,,
A1,133,309184.9688,24629.82031
A2,133,,
A3,133,387191.625,32188.54297
A4,133,,
A5,133,327047.9688,25687.93359
A6,133,,
A7,133,359656.2188,28062.16797
A8,133,,
A9,133,398912.75,29818.97656
A10,133,,
A11,133,,
A12,133,,
B1,133,289815.4688,24909.66406
B2,133,,
B3,133,373147.8125,28273.71875
B4,133,,
B5,133,309250.3125,23606.87891
B6,133,,
B7,133,315041.5938,25168.38281
B8,133,,
B9,133,324943.125,25322.86328
B10,133,,
B11,133,,
B12,133,,
C1,133,383186.875,31443.96484
C2,133,,
C3,133,358735.3438,27464.05469
C4,133,,
C5,133,321092.2813,26755.54688
C6,133,,
C7,133,337032.25,28450.48438
C8,133,,
C9,133,340631.8438,25973.32422
C10,133,,
C11,133,,
C12,133,,
D1,133,335659.6875,26257.88281
D2,133,,
D3,133,323338.4375,25859.61719
D4,133,,
D5,133,301360.4688,24893.96875
D6,133,,
D7,133,308664.6563,26979.58984
D8,133,,
D9,133,383525.5938,32529.32031
D10,133,,
D11,133,,
D12,133,,
E1,133,342065.8438,28088.48828
E2,133,,
E3,133,357188.5625,28668.25781
E4,133,,
E5,133,341993.4688,28470.29297
E6,133,,
E7,133,338043.6875,28115.30078
E8,133,,
E9,133,357990.0313,28854.75781
E10,133,,
E11,133,,
E12,133,,
F1,133,357797.875,29690.80469
F2,133,,
F3,133,341473.8438,27733.22656
F4,133,,
F5,133,321162.625,26670.10156
F6,133,,
F7,133,344067.3125,28746.10938
F8,133,,
F9,133,362980,29573.71484
F10,133,,
F11,133,,
F12,133,,
G1,133,316912.6875,27038.19922
G2,133,,
G3,133,344428.2813,28232.64844
G4,133,,
G5,133,358951.5,31176.12891
G6,133,,
G7,133,327679.5938,27937.21094
G8,133,,
G9,133,409282.125,37391.17188
G10,133,,
G11,133,,
G12,133,,
H1,133,302531.2188,26917.76953
H2,133,,
H3,133,335163.9688,29327.95703
H4,133,,
H5,133,74803.07813,32113.63086
H6,133,,
H7,133,346214.5938,30701.26172
H8,133,,
H9,133,-10718.90234,-2055.232178
H10,133,,
H11,133,,
H12,133,,
A1,134,305805.1563,24660.30469
A2,134,,
A3,134,384686.7813,32408.92969
A4,134,,
A5,134,324869.1563,25778.83594
A6,134,,
A7,134,357072.9375,28140.64844
A8,134,,
A9,134,397170.5938,30231.00781
A10,134,,
A11,134,,
A12,134,,
B1,134,289788.1563,25294.32813
B2,134,,
B3,134,370723.3125,28480.07813
B4,134,,
B5,134,307741.7188,23810.41016
B6,134,,
B7,134,312931.6563,25383.97266
B8,134,,
B9,134,324357.3125,25506.11328
B10,134,,
B11,134,,
B12,134,,
C1,134,381939.0313,31711.53125
C2,134,,
C3,134,356339.7813,27646.91016
C4,134,,
C5,134,319656.0938,26972.23828
C6,134,,
C7,134,334647.3125,28435.35938
C8,134,,
C9,134,340490.9375,26370.47266
C10,134,,
C11,134,,
C12,134,,
D1,134,332934.2188,26407.42188
D2,134,,
D3,134,322479.9688,26082.52344
D4,134,,
D5,134,303945.875,25698.34766
D6,134,,
D7,134,307299.0313,27043.21875
D8,134,,
D9,134,383119.9688,32841.40234
D10,134,,
D11,134,,
D12,134,,
E1,134,340567.5938,28322.48047
E2,134,,
E3,134,355476.5,28884.32422
E4,134,,
E5,134,344525.7188,29292.66797
E6,134,,
E7,134,336879.6563,28242.80078
E8,134,,
E9,134,357952.9688,29214.09766
E10,134,,
E11,134,,
E12,134,,
F1,134,355333.4688,29865.64453
F2,134,,
F3,134,339631.1563,27984.69531
F4,134,,
F5,134,321928.875,27180.66797
F6,134,,
F7,134,343628.9688,29112.04297
F8,134,,
F9,134,361957.2813,29931.63281
F10,134,,
F11,134,,
F12,134,,
G1,134,314405.9375,27164.55078
G2,134,,
G3,134,342628.4688,28430.79297
G4,134,,
G5,134,351820.8438,30768.0625
G6,134,,
G7,134,325808.8125,28107.80859
G8,134,,
G9,134,405362.4375,37453.09375
G10,134,,
G11,134,,
G12,134,,
H1,134,300161.6563,27046.42578
H2,134,,
H3,134,333526.9688,29531.94922
H4,134,,
H5,134,74728.5,32312.65234
H6,134,,
H7,134,344857.6875,30980.38672
H8,134,,
H9,134,-10701.17285,-2076.918457
H10,134,,
H11,134,,
H12,134,,
A1,135,304202.6563,24971.29688
A2,135,,
A3,135,382606.125,32618.5
A4,135,,
A5,135,324863,26012.14453
A6,135,,
A7,135,354522.8438,28291.52344
A8,135,,
A9,135,394938.0313,30462.44141
A10,135,,
A11,135,,
A12,135,,
B1,135,286027.9688,25202.92188
B2,135,,
B3,135,368509.375,28719.42188
B4,135,,
B5,135,311161.0938,24511.54688
B6,135,,
B7,135,311539.3438,25657.71875
B8,135,,
B9,135,321398.375,25664.69922
B10,135,,
B11,135,,
B12,135,,
C1,135,378437.0313,31950.80859
C2,135,,
C3,135,353362.1563,27771.09766
C4,135,,
C5,135,313511.9688,26429.05859
C6,135,,
C7,135,333025.2188,28560.12109
C8,135,,
C9,135,338071.1875,26546.49609
C10,135,,
C11,135,,
C12,135,,
D1,135,330483.5313,26606.0625
D2,135,,
D3,135,321466.875,26376.85938
D4,135,,
D5,135,306187.0938,26475.49219
D6,135,,
D7,135,305045.2188,27056.75391
D8,135,,
D9,135,381308.9063,33089.38281
D10,135,,
D11,135,,
D12,135,,
E1,135,337767.6563,28532.28125
E2,135,,
E3,135,353849.0625,29157.30078
E4,135,,
E5,135,349752.3125,30457.87109
E6,135,,
E7,135,336090.5,28498.91016
E8,135,,
E9,135,355842.625,29372.18359
E10,135,,
E11,135,,
E12,135,,
F1,135,352599.2188,30085.07031
F2,135,,
F3,135,338254.0625,28231.13672
F4,135,,
F5,135,327297.1875,28277.42188
F6,135,,
F7,135,342713.8438,29415.04297
F8,135,,
F9,135,359073.9688,30033.08594
F10,135,,
F11,135,,
F12,135,,
G1,135,312954.875,27420.58984
G2,135,,
G3,135,340748.125,28685.75
G4,135,,
G5,135,346831.5938,30524.34375
G6,135,,
G7,135,323069.25,28231.51563
G8,135,,
G9,135,403341.8438,37731.22656
G10,135,,
G11,135,,
G12,135,,
H1,135,297829.9375,27205
H2,135,,
H3,135,331764.75,29771.90625
H4,135,,
H5,135,75115.21875,32748.26758
H6,135,,
H7,135,343273.2813,31295.73438
H8,135,,
H9,135,-10708.95703,-2070.951904
H10,135,,
H11,135,,
H12,135,,
A1,136,302456.625,25079.40625
A2,136,,
A3,136,379881.5938,32880.875
A4,136,,
A5,136,320752.3438,26142.95703
A6,136,,
A7,136,353248.4063,28614.40625
A8,136,,
A9,136,389754.4063,30416.73047
A10,136,,
A11,136,,
A12,136,,
B1,136,283057.8125,25265.20703
B2,136,,
B3,136,366210.0938,28940.22266
B4,136,,
B5,136,304937.4688,24224.28906
B6,136,,
B7,136,309474.9688,25682.72656
B8,136,,
B9,136,320787.0938,26133.63281
B10,136,,
B11,136,,
B12,136,,
C1,136,377112.0625,32315.34375
C2,136,,
C3,136,351896.0625,27980.64844
C4,136,,
C5,136,316943.6563,27439.46875
C6,136,,
C7,136,332650.0625,29037.61719
C8,136,,
C9,136,332786.7188,26513.47266
C10,136,,
C11,136,,
C12,136,,
D1,136,329845.6563,26925.95703
D2,136,,
D3,136,319632.1563,26489.84375
D4,136,,
D5,136,301243.2188,26088.07031
D6,136,,
D7,136,303600.9375,27330.13281
D8,136,,
D9,136,375904.4688,32979.59766
D10,136,,
D11,136,,
D12,136,,
E1,136,335026.2188,28636
E2,136,,
E3,136,352745.5313,29416.16406
E4,136,,
E5,136,341987.7188,29692.66016
E6,136,,
E7,136,334633.1875,28814.13672
E8,136,,
E9,136,352068.5938,29391.86328
E10,136,,
E11,136,,
E12,136,,
F1,136,349873.0625,30234.74219
F2,136,,
F3,136,336922.0938,28509.96094
F4,136,,
F5,136,318321.5938,27497.14063
F6,136,,
F7,136,340232.7813,29528.5625
F8,136,,
F9,136,355477.2813,30066.32813
F10,136,,
F11,136,,
F12,136,,
G1,136,311103.3438,27589.34375
G2,136,,
G3,136,337834.5625,28765.60156
G4,136,,
G5,136,349089.75,31322.01563
G6,136,,
G7,136,321508.0625,28453.94141
G8,136,,
G9,136,401361.3438,38003.67188
G10,136,,
G11,136,,
G12,136,,
H1,136,295119.75,27343.41016
H2,136,,
H3,136,329868.9063,29932.70703
H4,136,,
H5,136,73880.22656,32372.11719
H6,136,,
H7,136,341353.125,31452.39453
H8,136,,
H9,136,-10708.1582,-2074.835938
H10,136,,
H11,136,,
H12,136,,
A1,137,299945.5938,25215.78125
A2,137,,
A3,137,377993.4063,33202.88672
A4,137,,
A5,137,319918.8438,26344.13281
A6,137,,
A7,137,350159.2188,28653.64844
A8,137,,
A9,137,387614.8125,30767.17969
A10,137,,
A11,137,,
A12,137,,
B1,137,281570.25,25489.88281
B2,137,,
B3,137,363658.0313,29103.95313
B4,137,,
B5,137,305737.4688,24687.25391
B6,137,,
B7,137,306801.0313,25817.74219
B8,137,,
B9,137,319141.5313,26328.13672
B10,137,,
B11,137,,
B12,137,,
C1,137,373517.7813,32421.95703
C2,137,,
C3,137,348994.8438,28197.6875
C4,137,,
C5,137,313144.8125,27246.98438
C6,137,,
C7,137,330351.9375,28981.79688
C8,137,,
C9,137,331505.1563,26757.85938
C10,137,,
C11,137,,
C12,137,,
D1,137,326093.6875,27004.61719
D2,137,,
D3,137,317794.6563,26717.72266
D4,137,,
D5,137,302401.375,26646.22656
D6,137,,
D7,137,302598.25,27485.15234
D8,137,,
D9,137,377105.625,33412.19141
D10,137,,
D11,137,,
D12,137,,
E1,137,333146.5,28931.80469
E2,137,,
E3,137,350781,29666.67188
E4,137,,
E5,137,344587.4688,30546.17578
E6,137,,
E7,137,333343.375,29052.95703
E8,137,,
E9,137,351452.3125,29696.97656
E10,137,,
E11,137,,
E12,137,,
F1,137,347720.5625,30448.98047
F2,137,,
F3,137,334160.0625,28629.5625
F4,137,,
F5,137,320302.0938,28148.03125
F6,137,,
F7,137,338756,29864.55469
F8,137,,
F9,137,353631.8125,30349.99219
F10,137,,
F11,137,,
F12,137,,
G1,137,308788.6563,27749.41016
G2,137,,
G3,137,335880.0313,28993.9375
G4,137,,
G5,137,345086.2188,31320.13281
G6,137,,
G7,137,319385.5,28585.25781
G8,137,,
G9,137,397864.0938,38050.56641
G10,137,,
G11,137,,
G12,137,,
H1,137,292926.0938,27489.67188
H2,137,,
H3,137,327822.9688,30122.66406
H4,137,,
H5,137,73995.14063,32705.66406
H6,137,,
H7,137,339223.2813,31655.98438
H8,137,,
H9,137,-10736.10742,-2069.343018
H10,137,,
H11,137,,
H12,137,,
A1,138,297130.5,25330.53125
A2,138,,
A3,138,375447.5,33409.41797
A4,138,,
A5,138,318571.25,26594.95703
A6,138,,
A7,138,347952.9688,28888.53906
A8,138,,
A9,138,385444.75,30992.02344
A10,138,,
A11,138,,
A12,138,,
B1,138,279808.4688,25591.17578
B2,138,,
B3,138,361128.5,29320.66797
B4,138,,
B5,138,305452.2813,25024.57422
B6,138,,
B7,138,305121.3125,26029.625
B8,138,,
B9,138,316328.2813,26401.32031
B10,138,,
B11,138,,
B12,138,,
C1,138,370554.375,32518.42969
C2,138,,
C3,138,346507.1875,28317.37109
C4,138,,
C5,138,310356.4688,27317.82813
C6,138,,
C7,138,328341.375,29173.78125
C8,138,,
C9,138,329840.9688,27030.88281
C10,138,,
C11,138,,
C12,138,,
D1,138,323053.1875,27107.14063
D2,138,,
D3,138,317031.75,26988.84375
D4,138,,
D5,138,300865.3438,26879.12109
D6,138,,
D7,138,300612.625,27652.23828
D8,138,,
D9,138,375683.8438,33724.21094
D10,138,,
D11,138,,
D12,138,,
E1,138,330229.4063,29046.76953
E2,138,,
E3,138,349255.6875,29838.98828
E4,138,,
E5,138,343089.6875,30759.78516
E6,138,,
E7,138,331522.2188,29264.92188
E8,138,,
E9,138,349075.2188,29837.13281
E10,138,,
E11,138,,
E12,138,,
F1,138,344507.375,30579.35156
F2,138,,
F3,138,331996.6875,28815.28516
F4,138,,
F5,138,318606.6875,28413.04297
F6,138,,
F7,138,336444.8438,29971.54297
F8,138,,
F9,138,350948.6563,30475.625
F10,138,,
F11,138,,
F12,138,,
G1,138,306436.25,27906.05469
G2,138,,
G3,138,333028.0938,29083.23828
G4,138,,
G5,138,343099.9375,31530.03516
G6,138,,
G7,138,317142.75,28770.94531
G8,138,,
G9,138,396346,38331.23438
G10,138,,
G11,138,,
G12,138,,
H1,138,290280,27562.89063
H2,138,,
H3,138,326052.5625,30323.38281
H4,138,,
H5,138,73656.15625,32785.50781
H6,138,,
H7,138,337156.2813,31875.34375
H8,138,,
H9,138,-10731.09668,-2078.759033
H10,138,,
H11,138,,
H12,138,,
A1,139,294257.9688,25467.95703
A2,139,,
A3,139,373047.0313,33648.125
A4,139,,
A5,139,315214.6563,26687.13281
A6,139,,
A7,139,345054.1563,29008.03125
A8,139,,
A9,139,381059.75,31082.23828
A10,139,,
A11,139,,
A12,139,,
B1,139,278422.7813,25830.07031
B2,139,,
B3,139,357981.2188,29447.63281
B4,139,,
B5,139,301269.1875,24977.74609
B6,139,,
B7,139,302235.8125,26062.52734
B8,139,,
B9,139,315000.0313,26819.13281
B10,139,,
B11,139,,
B12,139,,
C1,139,365990.3125,32579.91016
C2,139,,
C3,139,344636.25,28596.78906
C4,139,,
C5,139,310895.8125,27858.08594
C6,139,,
C7,139,326799.75,29378.98828
C8,139,,
C9,139,324844.125,26927.93359
C10,139,,
C11,139,,
C12,139,,
D1,139,318980.5313,27164.36719
D2,139,,
D3,139,316483.5313,27315.42188
D4,139,,
D5,139,298682.4375,27030.22266
D6,139,,
D7,139,299139.9688,27850.39063
D8,139,,
D9,139,372418.125,33747.83984
D10,139,,
D11,139,,
D12,139,,
E1,139,327268.875,29212.24219
E2,139,,
E3,139,348290.1563,30201.95703
E4,139,,
E5,139,340316.0938,30877.71875
E6,139,,
E7,139,329709.9375,29496.40234
E8,139,,
E9,139,347210.875,30051.45703
E10,139,,
E11,139,,
E12,139,,
F1,139,341994.3438,30764.9375
F2,139,,
F3,139,330534.9688,29089.44922
F4,139,,
F5,139,314752.7188,28352.29297
F6,139,,
F7,139,334071.4688,30148.52734
F8,139,,
F9,139,347951.5313,30682.45703
F10,139,,
F11,139,,
F12,139,,
G1,139,303911.375,28038.98828
G2,139,,
G3,139,330309.375,29232.88672
G4,139,,
G5,139,340439.375,31682.30469
G6,139,,
G7,139,315358.4688,29002.34375
G8,139,,
G9,139,393800.3438,38475.76563
G10,139,,
G11,139,,
G12,139,,
H1,139,287610.3125,27689.44531
H2,139,,
H3,139,324079.4375,30548.75391
H4,139,,
H5,139,72995.88281,32705.81641
H6,139,,
H7,139,334934.5,32039.96875
H8,139,,
H9,139,-10732.08301,-2084.103027
H10,139,,
H11,139,,
H12,139,,
A1,140,292177.3125,25644.26953
A2,140,,
A3,140,370581.5313,33862.83984
A4,140,,
A5,140,313476.125,26860.41797
A6,140,,
A7,140,343116.9688,29260.84766
A8,140,,
A9,140,378036.4375,31152.61328
A10,140,,
A11,140,,
A12,140,,
B1,140,275149.7813,25849.54297
B2,140,,
B3,140,355169.75,29653.82422
B4,140,,
B5,140,300378.2188,25241.13672
B6,140,,
B7,140,298901.9688,25922.65625
B8,140,,
B9,140,309705.625,26754.04297
B10,140,,
B11,140,,
B12,140,,
C1,140,363635.3438,32827.86719
C2,140,,
C3,140,341969.5938,28730.78125
C4,140,,
C5,140,308398.6875,27889.91797
C6,140,,
C7,140,326522.5938,29802.59766
C8,140,,
C9,140,321648.5,26938.30078
C10,140,,
C11,140,,
C12,140,,
D1,140,317350.3438,27426.29297
D2,140,,
D3,140,314708.5,27482.95703
D4,140,,
D5,140,298597.9063,27488.03516
D6,140,,
D7,140,299008.375,28269.05078
D8,140,,
D9,140,369332.5313,33790.26563
D10,140,,
D11,140,,
D12,140,,
E1,140,324853.9375,29389.15625
E2,140,,
E3,140,346059.2813,30396.26953
E4,140,,
E5,140,340933.4688,31453.83984
E6,140,,
E7,140,328250.3125,29812.87891
E8,140,,
E9,140,343678.2813,30024.73438
E10,140,,
E11,140,,
E12,140,,
F1,140,339582.375,30991.19531
F2,140,,
F3,140,327830.0938,29261.03906
F4,140,,
F5,140,315047.0938,28823.92969
F6,140,,
F7,140,331497.9063,30319.45313
F8,140,,
F9,140,346163.125,30797.94141
F10,140,,
F11,140,,
F12,140,,
G1,140,301562.375,28203.66016
G2,140,,
G3,140,328653.6875,29490.53516
G4,140,,
G5,140,336590.625,31655.48828
G6,140,,
G7,140,312500,29014.78125
G8,140,,
G9,140,392084.4688,38952.53906
G10,140,,
G11,140,,
G12,140,,
H1,140,285199.4688,27846.22656
H2,140,,
H3,140,321623.3125,30684.50391
H4,140,,
H5,140,72754.96094,32893.89063
H6,140,,
H7,140,332207.5313,32128.09375
H8,140,,
H9,140,-10732.125,-2067.785645
H10,140,,
H11,140,,
H12,140,,
A1,141,290671.75,25825.69922
A2,141,,
A3,141,367348.1563,34008.42969
A4,141,,
A5,141,310727.875,27016.69531
A6,141,,
A7,141,340260.625,29477.27734
A8,141,,
A9,141,375339.6563,31465.21875
A10,141,,
A11,141,,
A12,141,,
B1,141,271931.9375,25897.14844
B2,141,,
B3,141,352823.4688,29825.74219
B4,141,,
B5,141,297042.6563,25301.35938
B6,141,,
B7,141,299427.5938,26636.48828
B8,141,,
B9,141,310401,27137.94531
B10,141,,
B11,141,,
B12,141,,
C1,141,362347.625,33180.01172
C2,141,,
C3,141,338424.3125,28854.8125
C4,141,,
C5,141,308277.8438,28420.625
C6,141,,
C7,141,321973.125,29657.00781
C8,141,,
